modelId,equipId,vendor,model,unitModelNumber,unitNumberKind,unitRole,status,sourceFile,sourcePage,sourceTable,capacityClass,capacityClassUnit,compatibleCapacityRange,compatibleCapacityRangeUnit,matchedAirHandler,matchedAirHandlerUnit,ratedAirflow,ratedAirflowUnit,ecodesignAirflow,ecodesignAirflowUnit,sfp15Airflow,sfp15AirflowUnit,sfp20Airflow,sfp20AirflowUnit,grossCoolingCapacity,grossCoolingCapacityUnit,ahriNetCoolingCapacity,ahriNetCoolingCapacityUnit,eer,eerUnit,ieer,ieerUnit,capacitySteps,capacityStepsUnit,fanMotorHp,fanMotorHpUnit,fanMotorRpm,fanMotorRpmUnit,coilFaceArea,coilFaceAreaUnit,coilRowsFpi,coilRowsFpiUnit,compressorConfig,compressorConfigUnit,refrigerantCircuits,refrigerantCircuitsUnit,condenserFans,condenserFansUnit,condenserAirflow,condenserAirflowUnit,unitWidth,unitWidthUnit,unitHeight,unitHeightUnit,unitLength,unitLengthUnit,seer,seerUnit,seer2,seer2Unit,heatingCapacity,heatingCapacityUnit,cop,copUnit,systemPower,systemPowerUnit,soundRating,soundRatingUnit,refrigerantCharge,refrigerantChargeUnit,refrigerantControl,refrigerantControlUnit,cabinetSize,cabinetSizeUnit,airflowConfiguration,airflowConfigurationUnit
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Top 025 Top,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 025 Top,,,,,,3420 - 8210,m³/h,3420 - 8210,m³/h,6223,m³/h,7650,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Top,
swegon-iqlogic-gold-rx-px-cx-sd-ahu-modbus,e5,Swegon,IQlogic — GOLD RX/PX/CX/SD AHU (Modbus),GOLD CX Top 030 Top,capacityClass,packagedUnit,extracted,Swegon_AHU_QuickGuide.pdf,6,치수·중량 — Swegon_AHU_QuickGuide.pdf p6,크기 030 Top,,,,,,3420 - 8160,m³/h,3420 - 8160,m³/h,5968,m³/h,7560,m³/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLD CX Top,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 10,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082,mm,1082,mm,2282,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 11,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182,mm,1182,mm,2282,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 12,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282,mm,1282,mm,2282,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 14,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482,mm,1482,mm,2282,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 16,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682,mm,1682,mm,2282,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 18,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882,mm,1882,mm,2282,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 20,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082,mm,2082,mm,2382,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 22,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,mm,2282,mm,2382,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 24,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2482,mm,2482,mm,2582,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 27,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2782,mm,2764,mm,2882,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 29,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2982,mm,2964,mm,2982,mm,,,,,,,,,,,,,,,,,,,,
systemair-access-geniox-geniox-go-ahu-modbus,e5,Systemair,Access — Geniox·Geniox GO AHU (Modbus),Geniox 31,capacityClass,packagedUnit,extracted,Systemair_Geniox_QuickGuide.pdf#quickselection,12,"General data — Geniox sizes (quick guide, rotary heat exchanger)",크기 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3182,mm,3164,mm,2982,mm,,,,,,,,,,,,,,,,,,,,
trane-symbio-700-odyssey-lontalk-scc,e5,Trane,Symbio™ 700 — Odyssey™ (LonTalk) · SCC 프로파일 (실내 쾌적 제어),Single Compressor TTA0724*A*,modelNumber,condensingUnit,extracted,SS-PRC028AA-EN_06262022.pdf,23,Table 6. General data — 6-7.5 tons (TTA0724*A*-TTA0904*D*) condensing units — 60 Hz,6 Tons,,,,TWE0904*A*,,"2,400",,,,,,,,"78,000",,"76,000",,11.5,,,,,,,,"1,100",RPM,18.5,sq ft,1/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,lbs,,,,,,
